city,phrase,freq_local,freq_geo_modified
Москва,работа курьером,21660,5945
Москва,курьер яндекс еда,6226,960
Москва,курьер купер,2027,131
Москва,работа в самокате,1485,599
Москва,сборщик заказов,16890,2470
СПб,работа курьером,11266,2938
СПб,курьер яндекс еда,4640,414
СПб,курьер купер,1387,141
СПб,работа в самокате,880,342
СПб,сборщик заказов,7908,2233
Екатеринбург,работа курьером,3711,1144
Екатеринбург,курьер яндекс еда,2036,249
Екатеринбург,курьер купер,613,66
Екатеринбург,работа в самокате,250,87
Екатеринбург,сборщик заказов,2417,935
Новосибирск,работа курьером,3097,1113
Новосибирск,курьер яндекс еда,1856,245
Новосибирск,курьер купер,498,81
Новосибирск,работа в самокате,394,175
Новосибирск,сборщик заказов,2161,941
Казань,работа курьером,1812,522
Казань,курьер яндекс еда,1545,195
Казань,курьер купер,376,42
Казань,работа в самокате,181,62
Казань,сборщик заказов,1358,472
